,District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate
4,5,JAMMU & KASHMIR,Punch,476835,,224936,261724,163333,98391,54.89,,43.74
262,263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,73.09,75.13,71.01
240,241,SIKKIM,North  District,43709,24730,,30450,18579,11871,69.67,75.13,62.55
72,73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,60.18,67.56,51.81
132,133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,58.34,66.04,49.68
3,4,JAMMU & KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,61.25,72.38,47.5
637,638,ANDAMAN & NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,68.76,74.28,61.65
301,302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,55.9,59.28,52.39
565,566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,65.53,72.21,58.66
565,566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,65.53,72.21,58.66
168,169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,55.72,64.82,45.37
263,264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,77.07,79.74,74.32
